name,kind,marinoPriorHz,marinoFinalHz,caseARatio,imcSteadyDb,marinoSteadyDb,marinoAdvantageDb,imcConvSec,marinoConvSec,imcControlRms,marinoControlRms,imcStatus,marinoStatus
Fixed-600Hz,fixed,600,600.002037426633,0.625656239935406,26.917115769099,70.6279156667629,43.7107998976639,0.4337,2.6592,0.681208983327507,0.704312634722612,stable,stable
Fixed-1000Hz,fixed,1000,1000,0.0809632532885876,29.8750999274483,0,NaN,2.0639,NaN,0.679088818689749,0,stable,caseA_not_applicable
Fixed-1400Hz,fixed,1400,1399.99967510315,0.489237875200661,27.2157907402844,85.7468165740478,58.5310258337634,2.0651,2.6582,0.675463467723354,0.704951296946779,stable,stable
Mismatch-plus-1pct,mismatch,1000,1000,0.0661590928235194,29.842083995673,0,NaN,2.0639,NaN,0.679102875499818,0,stable,caseA_not_applicable
Mismatch-plus-3pct,mismatch,1000,1000,0.0365153010316045,29.735753183253,0,NaN,2.0639,NaN,0.678974956628501,0,stable,caseA_not_applicable
Mismatch-minus-3pct,mismatch,1000,1000,0.0809632532885876,30.0453028908324,0,NaN,2.0637,NaN,0.67934152490926,0,stable,caseA_not_applicable
Chirp-800-1200Hz,chirp,800,800,0.00205561446680857,-42.2937229758058,0,NaN,NaN,0,755866.853105552,0,diverged,caseA_not_applicable
Chirp-600-1400Hz,chirp,600,600,0.00205561446680857,-45.7984774217937,0,NaN,NaN,0,1385356.40496159,0,diverged,caseA_not_applicable
Bandpass-700-1300Hz,bandlimited,1000,1000,0.000911585277740999,-36.509151949765,0,NaN,NaN,NaN,66350.3294886132,0,diverged,caseA_not_applicable
Bandpass-500-1500Hz,bandlimited,1000,1000,0.00684614468466602,-58.0597282690964,0,NaN,NaN,NaN,5695637.51952399,0,diverged,caseA_not_applicable
